Word,Term_ID
wall,1
st,2
bear,3
claw,4
back,5
black,6
reuters,7
shortsellers,8
street,9
dwindlingband,10
ultracynics,11
seeing,12
green,13
again,14
carlyle,15
look,16
toward,17
commercial,18
aerospace,19
private,20
investment,21
firm,22
groupwhich,23
reputation,24
making,25
welltimed,26
occasionallycontroversial,27
play,28
defense,29
industry,30
quietly,31
placedits,32
bet,33
another,34
part,35
market,36
oil,37
economy,38
cloud,39
stock,40
outlook,41
soaring,42
crude,43
price,44
plus,45
worriesabout,46
earnings,47
expected,48
tohang,49
next,50
week,51
depth,52
thesummer,53
doldrums,54
iraq,55
halt,56
export,57
main,58
southern,59
pipeline,60
authority,61
halted,62
exportflows,63
afterintelligence,64
showed,65
rebel,66
militia,67
could,68
strikeinfrastructure,69
official,70
said,71
saturday,72
soar,73
alltime,74
record,75
posing,76
new,77
menace,78
you,79
afp,80
tearaway,81
world,82
toppling,83
straining,84
wallet,85
present,86
economic,87
barely,88
three,89
month,90
presidential,91
election,92
end,93
up,94
near,95
year,96
low,97
ended,98
slightly,99
higher,100
fridaybut,101
stayed,102
surged,103
past,104
3646a,105
barrel,106
offsetting,107
positive,108
computer,109
makerdell,110
inc,111
dello,112
money,113
fund,114
fell,115
latest,116
ap,117
asset,118
nation,119
retail,120
mutual,121
36117,122
billion,123
3684998,124
trillion,125
company,126
institute,127
thursday,128
fed,129
minute,130
show,131
dissent,132
inflation,133
usatodaycom,134
sale,135
bounced,136
bit,137
july,138
claim,139
jobless,140
benefit,141
last,142
government,143
indicating,144
improving,145
midsummer,146
slump,147
safety,148
net,149
forbescom,150
earning,151
phd,152
sociology,153
danny,154
bazil,155
riley,156
started,157
work,158
general,159
manager,160
real,161
estate,162
annual,163
base,164
salary,165
3670000,166
soon,167
after,168
financial,169
planner,170
stopped,171
desk,172
drop,173
brochure,174
insurance,175
available,176
employer,177
but,178
32,179
buying,180
furthest,181
thing,182
mind,183
say,184
york,185
dwindling,186
band,187
worry,188
hang,189
summer,190
need,191
opec,192
pump,193
moreiran,194
gov,195
tehran,196
nothing,197
douse,198
scorching,199
already,200
oversupplied,201
28,202
million,203
per,204
day,205
bpd,206
iran,207
governor,208
warning,209
fall,210
sharply,211
nonopec,212
outputpurnomo,213
jakarta,214
exporter,215
consider,216
increasing,217
output,218
cool,219
president,220
purnomo,221
yusgiantoro,222
sunday,223
google,224
ipo,225
auction,226
rocky,227
start,228
washingtonnew,229
highly,230
anticipated,231
initial,232
public,233
offering,234
got,235
friday,236
web,237
search,238
sidestepped,239
bullet,240
security,241
regulator,242
dollar,243
broadly,244
trade,245
gap,246
tumbled,247
data,248
showing,249
deficit,250
june,251
cast,252
fresh,253
doubt,254
recovery,255
ability,256
draw,257
foreign,258
capital,259
growing,260
rescuing,261
old,262
saver,263
think,264
may,265
help,266
elderly,267
relative,268
finance,269
shy,270
talk,271
kid,272
rule,273
backtoschool,274
purchasing,275
power,276
big,277
season,278
become,279
huge,280
marketing,281
phenomenon,282
head,283
value,284
little,285
because,286
celebration,287
investor,288
valuefocused,289
reason,290
feel,291
smug,292
they,293
have,294
lost,295
less,296
folk,297
stuck,298
growth,299
swell,300
exploded,301
19,302
558bn,303
cost,304
drove,305
import,306
according,307
figure,308
she,309
will,310
target,311
total,312
giant,313
bracing,314
takeover,315
attempt,316
possibly,317
french,318
rival,319
press,320
report,321
face,322
playboy,323
slipup,324
bidding,325
get,326
underway,327
despite,328
lastminute,329
interview,330
boss,331
magazine,332
eurozone,333
keep,334
12nation,335
continues,336
grow,337
slow,338
later,339
expansion,340
slows,341
japan,342
country,343
experience,344
domestic,345
corporate,346
spending,347
rand,348
shock,349
sa,350
rate,351
cut,352
interest,353
trimmed,354
75,355
south,356
african,357
central,358
bank,359
lack,360
hit,361
surprise,362
car,363
across,364
board,365
second,366
hand,367
five,368
survey,369
found,370
korea,371
lower,372
quarter,373
percentage,374
point,375
35,376
bid,377
drive,378
begin,379
share,380
engine,381
floated,382
much,383
36bn,384
take,385
place,386
hp,387
tumble,388
profit,389
news,390
hewlettpackard,391
disappointing,392
thirdquarter,393
warns,394
final,395
also,396
short,397
expectation,398
mauritian,399
textile,400
job,401
one,402
oldest,403
operator,404
indian,405
ocean,406
island,407
mauritius,408
shut,409
seven,410
factory,411
900,412
chad,413
seek,414
refugee,415
aid,416
imf,417
asks,418
loan,419
pay,420
looking,421
100000,422
conflicttorn,423
darfur,424
western,425
sudan,426
nuclear,427
shuts,428
plant,429
running,430
japanese,431
fatal,432
accident,433
close,434
reactor,435
check,436
veteran,437
inventor,438
float,439
trevor,440
baylis,441
famous,442
creating,443
freeplay,444
clockwork,445
radio,446
planning,447
saudi,448
arabia,449
open,450
tap,451
ready,452
push,453
extra,454
13,455
reverse,456
surging,457
phone,458
sector,459
1bn,460
lift,461
group,462
led,463
uaes,464
etisalat,465
plan,466
spend,467
544m,468
winning,469
two,470
mobile,471
licence,472
fill,473
rail,474
skill,475
shortage,476
network,477
fly,478
specialist,479
engineer,480
west,481
coast,482
mainline,483
uk,484
steady,485
go,486
bedford,487
scientist,488
nitromed,489
hope,490
experimental,491
drug,492
cure,493
heart,494
disease,495
someday,496
lately,497
focus,498
mundane,499
matter,500
type,501
confusing,502
secrecy,503
i,504
submitted,505
buy,506
auctionstyle,507
turn,508
good,509
bad,510
bargain,511
hunter,512
paradise,513
massachusetts,514
shopped,515
hard,516
yesterday,517
tax,518
holiday,519
everything,520
treadmill,521
snow,522
blower,523
candle,524
chandelier,525
crediting,526
5percent,527
break,528
bringing,529
store,530
researcher,531
untangle,532
email,533
thread,534
victim,535
success,536
that,537
is,538
conclusion,539
ibm,540
corp,541
cambridge,542
spent,543
nearly,544
